Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_wrapper_0_bram_addr_0[31:0],design_1_i/fft_module_0_bram_addr[31:0],design_1_i/design_1_wrapper_0_fft_last_0,design_1_i/design_1_wrapper_0_fft_last_1,design_1_i/design_1_wrapper_0_fft_out_0[63:0],design_1_i/design_1_wrapper_0_fft_out_1[63:0],design_1_i/design_1_wrapper_0_fft_valid_0,design_1_i/design_1_wrapper_0_fft_valid_1,design_1_i/design_1_wrapper_0_tdata_0[31:0],design_1_i/design_1_wrapper_0_tdata_1[31:0],design_1_i/design_1_wrapper_0_tdata_valid_0,design_1_i/design_1_wrapper_0_tdata_valid_1,design_1_i/adc_buffer_0_Q1[13:0],design_1_i/adc_buffer_0_Q2[13:0],design_1_i/design_1_wrapper_0_event_data_in_channel_halt_0,design_1_i/design_1_wrapper_0_event_frame_started_0,design_1_i/design_1_wrapper_0_event_tlast_missing_0,design_1_i/design_1_wrapper_0_event_tlast_unexpected_0
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
34,34,0,00000098,00000070,0,0,421aaa5cc234cb74,419a45bc41a64fbc,1,1,426c0000,c3cc8000,1,1,3f1d,3eaa,0,0,0,0
35,35,0,000000a0,00000078,0,0,c1593d20c17e31e8,4212b4a642793d6e,1,1,c3630000,c34f0000,1,1,3ede,3e6e,0,0,0,0
36,36,0,000000a8,00000080,0,0,c149088041d04688,422f1768c2627c14,1,1,c3910000,42d60000,1,1,3fa8,3f37,0,0,0,0
37,37,0,000000b0,00000088,0,0,c2b3900142295f02,c2bfb8c6427a0b32,1,1,c2b00000,43968000,1,1,00eb,0077,0,0,0,0
38,38,0,000000b8,00000090,0,0,411e8b58418d4604,4078720042d2d47c,1,1,436b0000,43640000,1,1,01a7,012e,0,0,0,0
39,39,0,000000c0,00000098,0,0,c200b9404250b332,41acdd3842602d84,1,1,43d38000,c2680000,1,1,0154,00dd,0,0,0,0
40,40,0,000000c8,000000a0,0,0,41540458c22cdd9e,c28a8953422ff852,1,1,43aa0000,c3ab0000,1,1,002e,3fb7,0,0,0,0
41,41,0,000000d0,000000a8,0,0,41933ca441c3c9c4,c1491438c10f5538,1,1,42380000,c3c90000,1,1,3f15,3ea7,0,0,0,0
42,42,0,000000d8,000000b0,0,0,c1c5616042e240c8,be5b560042288bf4,1,1,c36b0000,c3490000,1,1,3ee1,3e70,0,0,0,0
43,43,0,000000e0,000000b8,0,0,c0c34570423d2ff6,40eab980c13d07e0,1,1,c38f8000,42ee0000,1,1,3fb6,3f42,0,0,0,0
44,44,0,000000e8,000000c0,0,0,4214a9cec1baa7b8,c0a6c0c0c20b7bb8,1,1,c2940000,43970000,1,1,00f6,007e,0,0,0,0
45,45,0,000000f0,000000c8,0,0,41ceb124c20a92b6,c1e32a94c19305f8,1,1,43760000,435d0000,1,1,01a7,0136,0,0,0,0
46,46,0,000000f8,000000d0,0,0,c284bd8a420cc316,426fc5d241c07720,1,1,43d38000,c2920000,1,1,0149,00d3,0,0,0,0
47,47,0,00000100,000000d8,0,0,420911dac153e618,41b14b604283cf79,1,1,43a48000,c3ac8000,1,1,0024,3fae,0,0,0,0
48,48,0,00000108,000000e0,0,0,c0da3df041df7648,c20a9880c23e4ee2,1,1,42100000,c3c80000,1,1,3f11,3e9e,0,0,0,0
49,49,0,00000110,000000e8,0,0,4213cbb6c1976064,40a40ef0c19e8208,1,1,c36f0000,c33e0000,1,1,3ee4,3e74,0,0,0,0
50,50,0,00000118,000000f0,0,0,c23e674642aac64d,c206b1c441c811ac,1,1,c38e0000,42fc0000,1,1,3fbe,3f4d,0,0,0,0
51,51,0,00000120,000000f8,0,0,41bd5fb841fba158,c2381394c244b28e,1,1,c2840000,439b0000,1,1,0102,0088,0,0,0,0
52,52,0,00000128,00000100,0,0,c13a0ab0c2113bf6,c08daaa04289dd1f,1,1,43810000,43530000,1,1,01ac,0133,0,0,0,0
53,53,0,00000130,00000108,0,0,c182d728417f8fe0,c20bafae406ad260,1,1,43d60000,c2a40000,1,1,0141,00ce,0,0,0,0
54,54,0,00000138,00000110,0,0,423dad464033af40,40f3fd6042a4584e,1,1,43a08000,c3b10000,1,1,0014,3fa3,0,0,0,0
55,55,0,00000140,00000118,0,0,4303ec76423fd38a,426bed50c21922aa,1,1,41a00000,c3c60000,1,1,3f0c,3e96,0,0,0,0
56,56,0,00000148,00000120,0,0,426ecd1c41611378,41bdade8c2072040,1,1,c3740000,c3330000,1,1,3ee6,3e76,0,0,0,0
57,57,0,00000150,00000128,0,0,40d9abe0423c4e38,42763c5cc1329e08,1,1,c38d0000,43080000,1,1,3fc9,3f57,0,0,0,0
58,58,0,00000158,00000130,0,0,c226c45ec2304408,421609684219cfb2,1,1,c25c0000,43998000,1,1,0109,008f,0,0,0,0
59,59,0,00000160,00000138,0,0,c22cff2a41c8cd58,3fc6d400420e2e30,1,1,43848000,434e0000,1,1,01ad,0131,0,0,0,0
60,60,0,00000168,00000140,0,0,c256d93ec2d2a226,c235d2f041491890,1,1,43d68000,c2ba0000,1,1,0139,00c4,0,0,0,0
61,61,0,00000170,00000148,0,0,41f39cb8c1adc5a8,40f1ab80420a21b0,1,1,439c8000,c3b50000,1,1,000c,3f9c,0,0,0,0
62,62,0,00000178,00000150,0,0,41853e0cc282e896,423b98b241898690,1,1,41400000,c3c50000,1,1,3f06,3e92,0,0,0,0
63,63,0,00000180,00000158,0,0,418bf33441ab72a0,c29dc84bc01b7440,1,1,c37a0000,c3290000,1,1,3eec,3e7a,0,0,0,0
64,64,0,00000188,00000160,0,0,c257e302416c4048,423fadcec233efa6,1,1,c38a0000,430f0000,1,1,3fd6,3f5d,0,0,0,0
65,65,0,00000190,00000168,0,0,4275f5404218ae78,c22b904ac21711be,1,1,c2280000,43988000,1,1,0113,009b,0,0,0,0
66,66,0,00000198,00000170,0,0,c216a20ac30efaee,42a7b989419d2724,1,1,43898000,43440000,1,1,01af,0139,0,0,0,0
67,67,0,000001a0,00000178,0,0,c207bfee415adb48,c2b0caa2c1bfbf0c,1,1,43d78000,c2c80000,1,1,0135,00bf,0,0,0,0
68,68,0,000001a8,00000180,0,0,c17b350041357720,c214b910415f91a0,1,1,439a8000,c3b70000,1,1,0001,3f90,0,0,0,0
69,69,0,000001b0,00000188,0,0,419d21d042163646,41faf86c42258204,1,1,3f800000,c3c30000,1,1,3efe,3e90,0,0,0,0
70,70,0,000001b8,00000190,0,0,c100144842cdae23,be6a0400c08b60c0,1,1,c3810000,c3230000,1,1,3ef0,3e7f,0,0,0,0
71,71,0,000001c0,00000198,0,0,c0b3cfa041db9438,c2575936c2cbd597,1,1,c3880000,431b0000,1,1,3fdf,3f6e,0,0,0,0
72,72,0,000001c8,000001a0,0,0,c188dac0c0fa7cc0,40e0308041c3c100,1,1,c2040000,439c8000,1,1,011a,00a2,0,0,0,0
73,73,0,000001d0,000001a8,0,0,40798780c247ba8e,41f49a3c42926c83,1,1,438d0000,433f0000,1,1,01b0,0136,0,0,0,0
74,74,0,000001d8,000001b0,0,0,400903604259bf5a,c24f9466401c9ee0,1,1,43d80000,c2e00000,1,1,0129,00b1,0,0,0,0
75,75,0,000001e0,000001b8,0,0,41a67998419cc068,c13b7688424cc4e6,1,1,43948000,c3b80000,1,1,3ff8,3f88,0,0,0,0
76,76,0,000001e8,000001c0,0,0,3ea501004001c560,c2155b08c19a608c,1,1,c1000000,c3c08000,1,1,3efb,3e8c,0,0,0,0
77,77,0,000001f0,000001c8,0,0,c1ad67e04291bfd5,c023bd8041a90624,1,1,c3828000,c3120000,1,1,3ef8,3e85,0,0,0,0
78,78,0,000001f8,000001d0,0,0,41d06780424c02d0,c1e334d842422a92,1,1,c3840000,43220000,1,1,3feb,3f74,0,0,0,0
79,79,0,00000200,000001d8,0,0,4252b696c2799aaa,c185e5a8c23727a4,1,1,c1a80000,439b0000,1,1,011e,00b1,0,0,0,0
80,80,0,00000208,000001e0,0,0,c24f0f34c240b3d6,c139441041371378,1,1,438f0000,43310000,1,1,01ab,0136,0,0,0,0
81,81,0,00000210,000001e8,0,0,41af8a84427faa56,c1e7985041db1320,1,1,43d58000,c2f00000,1,1,0125,00a9,0,0,0,0
82,82,0,00000218,000001f0,0,0,42b2551dc10c0bf8,c1ec562841b118f8,1,1,43928000,c3ba0000,1,1,3fed,3f7b,0,0,0,0
83,83,0,00000220,000001f8,0,0,4252d3b841d67d80,4284f6a8420bf640,1,1,c1980000,c3bd8000,1,1,3ef7,3e86,0,0,0,0
84,84,0,00000228,00000200,0,0,c29a94ebc25adaf8,c25e273642eefdc4,1,1,c3848000,c30c0000,1,1,3ef9,3e89,0,0,0,0
85,85,0,00000230,00000208,0,0,c26e91fcc1c313f4,c181864c42040252,1,1,c3838000,43310000,1,1,3ff4,3f80,0,0,0,0
86,86,0,00000238,00000210,0,0,41b73740405ba760,41c9ae7c4138c740,1,1,c1400000,439b0000,1,1,012b,00bb,0,0,0,0
87,87,0,00000240,00000218,0,0,42a6c406c28cc095,c2476ac4428b5fe2,1,1,43958000,43290000,1,1,01af,0136,0,0,0,0
88,88,0,00000248,00000220,0,0,c1c8ef98425027b0,41c2a59442c98fec,1,1,43d78000,c3050000,1,1,011c,00a4,0,0,0,0
89,89,0,00000250,00000228,0,0,41117ae0c0b7d970,4278bc5a4073b560,1,1,438e0000,c3bd0000,1,1,3fe3,3f72,0,0,0,0
90,90,0,00000258,00000230,0,0,4149c530c1f4cabc,c137e9704217876a,1,1,c1e80000,c3bb8000,1,1,3ef0,3e80,0,0,0,0
91,91,0,00000260,00000238,0,0,c2667f644249ac40,3fb7290041c268d8,1,1,c3880000,c3000000,1,1,3eff,3e8e,0,0,0,0
92,92,0,00000268,00000240,0,0,41436ea04160f900,426a4154416255a8,1,1,c3808000,433b0000,1,1,0002,3f8c,0,0,0,0
93,93,0,00000270,00000248,0,0,c0bc0fa041909afc,4256e5da423f784c,1,1,40000000,439b0000,1,1,0132,00c5,0,0,0,0
94,94,0,00000278,00000250,0,0,c2349f0cc19914d8,41a26f8841ec730c,1,1,43990000,43240000,1,1,01aa,0134,0,0,0,0
95,95,0,00000280,00000258,0,0,c22e35384237e82a,c253e076410c7f78,1,1,43d50000,c30e0000,1,1,0112,009e,0,0,0,0
96,96,0,00000288,00000260,0,0,428abb5241ee01f8,42942c7b41401e88,1,1,43890000,c3c00000,1,1,3fd6,3f68,0,0,0,0
97,97,0,00000290,00000268,0,0,412a1360c279e8a4,42801c45428e7850,1,1,c2280000,c3b90000,1,1,3eef,3e7e,0,0,0,0
98,98,0,00000298,00000270,0,0,41d8f194c1379be8,c2818eafc28214d2,1,1,c3888000,c2e80000,1,1,3f04,3e8f,0,0,0,0
99,99,0,000002a0,00000278,0,0,4287b9c9c1f01a54,40dade80427a5fb0,1,1,c37c0000,43450000,1,1,000d,3f96,0,0,0,0
100,100,0,000002a8,00000280,0,0,411a6f10c2a1b2d5,c22cd5124270a446,1,1,41500000,439a0000,1,1,013a,00c5,0,0,0,0
101,101,0,000002b0,00000288,0,0,4280486ac125d200,41ad1ea042d44700,1,1,439d0000,431e0000,1,1,01ae,0131,0,0,0,0
102,102,0,000002b8,00000290,0,0,424ddc38415cd678,40e56d80c0953f30,1,1,43d70000,c3180000,1,1,0109,0094,0,0,0,0
103,103,0,000002c0,00000298,0,0,4281229abe8b4c00,c136559842964a8a,1,1,43848000,c3c10000,1,1,3fcd,3f5a,0,0,0,0
104,104,0,000002c8,000002a0,0,0,c216169e42813166,c219632cc2178d2a,1,1,c24c0000,c3b88000,1,1,3eeb,3e79,0,0,0,0
105,105,0,000002d0,000002a8,0,0,423435b041adbbb8,425b54ccc201dcf4,1,1,c38a8000,c2d40000,1,1,3f07,3e99,0,0,0,0
106,106,0,000002d8,000002b0,0,0,c205f8e8c1e28ca8,c25af554423bf994,1,1,c3790000,43450000,1,1,001b,3fa5,0,0,0,0
107,107,0,000002e0,000002b8,0,0,4176a94041bfa7a0,4208547c42394252,1,1,41d80000,43988000,1,1,0144,00d0,0,0,0,0
108,108,0,000002e8,000002c0,0,0,41b475e041ef04d0,c25b3fbc41c02dc8,1,1,43a20000,43140000,1,1,01aa,0137,0,0,0,0
109,109,0,000002f0,000002c8,0,0,c1b4d14cc18163ac,4262ccdac191f3cc,1,1,43d50000,c3260000,1,1,00fd,0088,0,0,0,0
110,110,0,000002f8,000002d0,0,0,bfc8d4c0c14625c0,427e03c041e3da94,1,1,437d0000,c3c38000,1,1,3fbe,3f4c,0,0,0,0
111,111,0,00000300,000002d8,0,0,c17a1538c0afcf40,41c0600c40de4b90,1,1,c2840000,c3b38000,1,1,3ee8,3e76,0,0,0,0
112,112,0,00000308,000002e0,0,0,409f3a6041d5b774,430d6e98c0849610,1,1,c38c0000,c2b60000,1,1,3f10,3e9e,0,0,0,0
113,113,0,00000310,000002e8,0,0,42733f68c0ffe770,41f31e80c17cb9a0,1,1,c3700000,43500000,1,1,0025,3fb1,0,0,0,0
114,114,0,00000318,000002f0,0,0,c2dd147241712298,c28481154256960c,1,1,42140000,439b8000,1,1,014c,00d8,0,0,0,0
115,115,0,00000320,000002f8,0,0,41eb412042ba57fd,c212a944c1409568,1,1,43a60000,43080000,1,1,01a5,0131,0,0,0,0
116,116,0,00000328,00000300,0,0,416c60b8c28a77dc,4141d82842a8818e,1,1,43d28000,c3340000,1,1,00f5,007d,0,0,0,0
117,117,0,00000330,00000308,0,0,42165b6640266f40,41f22470c201f4c2,1,1,43750000,c3c50000,1,1,3fb5,3f42,0,0,0,0
118,118,0,00000338,00000310,0,0,c26be57ac0eb77f0,42126434410b99d8,1,1,c2960000,c3b10000,1,1,3ee2,3e71,0,0,0,0
119,119,0,00000340,00000318,0,0,c0be779042a0e6fa,41d1a1d04251c908,1,1,c38f0000,c29e0000,1,1,3f18,3ea2,0,0,0,0
120,120,0,00000348,00000320,0,0,c216cdc2c2240980,c265a4063fcffa40,1,1,c3680000,43580000,1,1,002f,3fbf,0,0,0,0
121,121,0,00000350,00000328,0,0,c28a0b06bf757300,41752830c2381baa,1,1,423c0000,43988000,1,1,0152,00dd,0,0,0,0
122,122,0,00000358,00000330,0,0,c2a2afff4214bade,42170a66c209b348,1,1,43a90000,42fa0000,1,1,01a8,0131,0,0,0,0
123,123,0,00000360,00000338,0,0,41cb84b0c0e81b10,bdbbd000422f2b06,1,1,43d40000,c33e0000,1,1,00eb,0075,0,0,0,0
124,124,0,00000368,00000340,0,0,c1cc0d8c42316296,41aeeaa441957bb8,1,1,436b0000,c3c78000,1,1,3fab,3f39,0,0,0,0
125,125,0,00000370,00000348,0,0,bfaf2680424db9c0,c10eaef04113d950,1,1,c2aa0000,c3af0000,1,1,3ede,3e6e,0,0,0,0
126,126,0,00000378,00000350,0,0,4094a640c1754658,c2aea94142e0eaf5,1,1,c3910000,c2820000,1,1,3f1f,3eaa,0,0,0,0
127,127,0,00000380,00000358,0,0,4249fd24421e0354,c125d9e8c184e46c,1,1,c3610000,435d0000,1,1,0039,3fc5,0,0,0,0
128,128,0,00000388,00000360,0,0,c26e9aa64257df20,c0d3334041f3fff4,1,1,42640000,43988000,1,1,015b,00e6,0,0,0,0
129,129,0,00000390,00000368,0,0,41aa0a9c42b267f2,c264b5aac11b44c0,1,1,43ad8000,42ea0000,1,1,01a5,012d,0,0,0,0
130,130,0,00000398,00000370,0,0,c230621a425ba93a,4112fb90c2b44b24,1,1,43d28000,c3470000,1,1,00df,0068,0,0,0,0
131,131,0,000003a0,00000378,0,0,c20e07e04296a5f5,40f8f280c24e2eba,1,1,435f0000,c3c90000,1,1,3f9f,3f2e,0,0,0,0
132,132,0,000003a8,00000380,0,0,409d40603fb4ae80,429827dc41fa2008,1,1,c2c20000,c3ab0000,1,1,3edc,3e66,0,0,0,0
133,133,0,000003b0,00000388,0,0,41fa3c6c4073f8e0,c286bbbfc09b1d20,1,1,c3920000,c26c0000,1,1,3f23,3eb4,0,0,0,0
134,134,0,000003b8,00000390,0,0,c1fd79f4c1393bd0,c0ca2b703f098000,1,1,c35d0000,43660000,1,1,0045,3fd2,0,0,0,0
135,135,0,000003c0,00000398,0,0,c20d98b6c0b753f0,c238e3f0412df358,1,1,428a0000,43968000,1,1,0163,00ea,0,0,0,0
136,136,0,000003c8,000003a0,0,0,c269f54642723bd2,c09baf10c120f210,1,1,43b18000,42d00000,1,1,01a2,0128,0,0,0,0
137,137,0,000003d0,000003a8,0,0,42fb952fc0ca9790,c21f1ba0425fd682,1,1,43d10000,c3520000,1,1,00d9,0061,0,0,0,0
138,138,0,000003d8,000003b0,0,0,411edd9042c4367e,428bb5a14221493c,1,1,43590000,c3cd0000,1,1,3f95,3f24,0,0,0,0
139,139,0,000003e0,000003b8,0,0,c224631642aa7754,40e9c42041e27cb8,1,1,c2d60000,c3a60000,1,1,3ed7,3e68,0,0,0,0
140,140,0,000003e8,000003c0,0,0,42086d64c2548820,c30320e4424f0186,1,1,c3948000,c2380000,1,1,3f2a,3eba,0,0,0,0
141,141,0,000003f0,000003c8,0,0,c1a602f8425fc146,c2b3030d428bb0a4,1,1,c3560000,436a0000,1,1,0051,3fdc,0,0,0,0
142,142,0,000003f8,000003d0,0,0,c22bfcc642ae7a36,40f314d03de0c000,1,1,42a20000,43940000,1,1,016a,00f0,0,0,0,0
143,143,0,00000400,000003d8,0,0,c2b61ffa42a1031f,c0f3e2f041965290,1,1,43b50000,42c20000,1,1,01a3,0128,0,0,0,0
144,144,0,00000408,000003e0,0,0,c3371d6842982cc8,41fc9520429fc24d,1,1,43d18000,c35c0000,1,1,00cc,0055,0,0,0,0
145,145,0,00000410,000003e8,0,0,414eb5384298e951,420bc1784231ed40,1,1,434c0000,c3cc0000,1,1,3f8b,3f1c,0,0,0,0
146,146,0,00000418,000003f0,0,0,c19ad3c0bf286e80,c27cd722411d4500,1,1,c2ea0000,c3a30000,1,1,3ed7,3e64,0,0,0,0
147,147,0,00000420,000003f8,0,0,4184838c42b8fdab,c2d63267c19da8f8,1,1,c3948000,c2100000,1,1,3f32,3ec4,0,0,0,0
148,148,0,00000428,00000400,0,0,41f5d7dc4248ea5a,41a0f870428da3bd,1,1,c34e0000,43700000,1,1,0055,3fe6,0,0,0,0
149,149,0,00000430,00000408,0,0,c18067744250a316,c2f300e542ccadf2,1,1,42aa0000,43940000,1,1,016e,00f9,0,0,0,0
150,150,0,00000438,00000410,0,0,c12695c041aee054,40299cc042f8f5dd,1,1,43b70000,42aa0000,1,1,019c,0122,0,0,0,0
151,151,0,00000440,00000418,0,0,c189c77842c4de6d,c13e2668c27bff88,1,1,43ce0000,c3640000,1,1,00c1,004f,0,0,0,0
152,152,0,00000448,00000420,0,0,c2f1ab4b424ff634,c29ba550429bcfab,1,1,43410000,c3ce0000,1,1,3f83,3f16,0,0,0,0
153,153,0,00000450,00000428,0,0,c04f356042a0dcb3,c19ab05cc1f08848,1,1,c2fa0000,c39e0000,1,1,3ed9,3e64,0,0,0,0
154,154,0,00000458,00000430,0,0,c20d8248418fa114,c27dda084214cfe8,1,1,c3938000,c1d00000,1,1,3f3a,3ec6,0,0,0,0
155,155,0,00000460,00000438,0,0,425a25be42fde509,42a299dd42459dd4,1,1,c3460000,43790000,1,1,0064,3ff1,0,0,0,0
156,156,0,00000468,00000440,0,0,43014a2e4205499e,c0d174c042d53557,1,1,42c80000,43910000,1,1,0174,0100,0,0,0,0
157,157,0,00000470,00000448,0,0,c0cd22c04362c48c,c19a51d04280c9ed,1,1,43ba0000,429e0000,1,1,019a,0120,0,0,0,0
158,158,0,00000478,00000450,0,0,c2b5f4fb41df86c8,c0d5f4e03fdac1c0,1,1,43cd0000,c36a0000,1,1,00b6,0041,0,0,0,0
159,159,0,00000480,00000458,0,0,42df27a942d46682,4164bc304252dfa2,1,1,43360000,c3ce0000,1,1,3f79,3f0c,0,0,0,0
160,160,0,00000488,00000460,0,0,c267caa443a38d36,c1ec1444430d82ba,1,1,c3070000,c39d0000,1,1,3ed6,3e66,0,0,0,0
161,161,0,00000490,00000468,0,0,41fce23844335a29,42a003e4c0604b20,1,1,c3950000,c1700000,1,1,3f41,3ed5,0,0,0,0
162,162,0,00000498,00000470,0,0,c603604c48365a6b,42e92d414354c995,1,1,c33f0000,43800000,1,1,0072,3ffc,0,0,0,0
163,163,0,000004a0,00000478,0,0,c12e0ca8c418781c,c2a00b4e42f32702,1,1,42e40000,43900000,1,1,017a,0106,0,0,0,0
164,164,0,000004a8,00000480,0,0,c2232118c38a3d20,41abaef04287b841,1,1,43bd0000,42820000,1,1,0195,0120,0,0,0,0
165,165,0,000004b0,00000488,0,0,429a3524c302afd8,c2cdc406438d3360,1,1,43ca8000,c3740000,1,1,00ab,0036,0,0,0,0
166,166,0,000004b8,00000490,0,0,c24f093ec2cac247,423fa6ce441e4168,1,1,432b0000,c3cd0000,1,1,3f6b,3f00,0,0,0,0
167,167,0,000004c0,00000498,0,0,c08565e0c3002e1e,c60307d748350f30,1,1,c3150000,c3958000,1,1,3ed6,3e64,0,0,0,0
168,168,0,000004c8,000004a0,0,0,4287400bc2804261,c1ab6f58c42cdd8c,1,1,c3950000,c0800000,1,1,3f4c,3ed7,0,0,0,0
169,169,0,000004d0,000004a8,0,0,4284e5abc2fd4079,c2b1db21c383c824,1,1,c3340000,43830000,1,1,007d,0009,0,0,0,0
